#  telescope	date	JD	airmass	filter_obs	filter	constant
     FTS	20120315	56002.901	1.164	   Bessell-R	  R  18.1550  VR -0.0146 | 0.011  0.0
     FTS	20120307	55994.908	1.176	   Bessell-R	  R  21.4661  VR 0.97997 | 0.128  0.0
     FTS	20120307	55994.908	1.176	   Bessell-R	  R  21.4701  RI 1.01149 | 0.122  0.0
     FTS	20120307	55994.909	1.175	   Bessell-I	  I  21.6905  RI 0.25397 | 0.008  0.0
     FTS	20120307	55994.909	1.175	   Bessell-I	  I  21.6874  VI 0.12884 | 0.008  0.0
     FTS	20120511	56059.876	1.601	   Bessell-B	  B  21.8570  BV 0.21899 | 0.914  0.0
     FTS	20120511	56059.877	1.615	   Bessell-V	  V  22.0608  BV -0.0129 | 0.147  0.0
     FTS	20120511	56059.877	1.615	   Bessell-V	  V  22.0618  VR -0.0261 | 0.160  0.0
     FTS	20120511	56059.879	1.629	   Bessell-R	  R  22.5952  VR 0.00414 | 0.007  0.0
     FTS	20120511	56059.879	1.629	   Bessell-R	  R  22.5953  RI 0.00399 | 0.006  0.0
     FTS	20120511	56059.880	1.641	   Bessell-I	  I  22.4272  RI -0.0266 | 0.012  0.0
     FTS	20120511	56059.880	1.641	   Bessell-I	  I  22.4292  VI -0.0173 | 0.023  0.0
     FTS	20120310	55997.987	1.259	   Bessell-B	  B  21.8246  BV 0.18757 | 0.943  0.0
     FTS	20120310	55997.989	1.264	   Bessell-V	  V  22.0477  BV -0.0454 | 0.306  0.0
     FTS	20120310	55997.989	1.264	   Bessell-V	  V  22.0521  VR -0.0950 | 0.359  0.0
     FTS	20120310	55997.990	1.269	   Bessell-R	  R  22.5681  VR -0.0566 | 0.127  0.0
     FTS	20120310	55997.990	1.269	   Bessell-R	  R  22.5688  RI -0.0626 | 0.140  0.0
     FTS	20120310	55997.991	1.273	   Bessell-I	  I  22.3084  RI -0.0217 | 0.024  0.0
     FTS	20120310	55997.991	1.273	   Bessell-I	  I  22.3083  VI -0.0103 | 0.023  0.0
     FTS	20120319	56006.894	1.163	   Bessell-B	  B  21.7013  BV 0.18156 | 0.934  0.0
     FTS	20120319	56006.896	1.162	   Bessell-V	  V  21.9019  BV -0.0262 | 0.349  0.0
     FTS	20120319	56006.896	1.162	   Bessell-V	  V  21.9034  VR -0.0506 | 0.350  0.0
     FTS	20120319	56006.897	1.162	   Bessell-R	  R  22.4902  VR -0.0132 | 0.014  0.0
     FTS	20120319	56006.897	1.162	   Bessell-R	  R  22.4904  RI -0.0145 | 0.015  0.0
     FTS	20120319	56006.898	1.162	   Bessell-I	  I  22.2649  RI -0.0009 | 4.388  0.0
     FTS	20120319	56006.898	1.162	   Bessell-I	  I  22.2647  VI -3.0211 | 1.744  0.0
     FTS	20120330	56017.881	1.165	   Bessell-B	  B  21.8178  BV 0.20855 | 0.951  0.0
     FTS	20120330	56017.883	1.166	   Bessell-V	  V  22.0526  BV -0.0347 | 0.425  0.0
     FTS	20120330	56017.883	1.166	   Bessell-V	  V  22.0551  VR -0.0694 | 0.457  0.0
     FTS	20120330	56017.884	1.167	   Bessell-R	  R  22.5837  VR -0.0282 | 0.050  0.0
     FTS	20120330	56017.884	1.167	   Bessell-R	  R  22.5840  RI -0.0308 | 0.054  0.0
     FTS	20120330	56017.885	1.168	   Bessell-I	  I  22.3345  RI 0.01984 | 0.020  0.0
     FTS	20120330	56017.885	1.168	   Bessell-I	  I  22.3343  VI 0.01028 | 0.023  0.0
     FTS	20120517	56065.895	2.093	   Bessell-B	  B  21.8732  BV 0.23591 | 0.964  0.0
     FTS	20120517	56065.897	2.124	   Bessell-V	  V  22.0868  BV -0.0121 | 0.112  0.0
     FTS	20120517	56065.897	2.124	   Bessell-V	  V  22.0867  VR -0.0196 | 0.080  0.0
     FTS	20120517	56065.898	2.152	   Bessell-R	  R  22.6209  VR -0.0162 | 0.052  0.0
     FTS	20120517	56065.898	2.152	   Bessell-R	  R  22.6206  RI -0.0160 | 0.046  0.0
     FTS	20120517	56065.899	2.176	   Bessell-I	  I  22.3713  RI 0.03933 | 0.152  0.0
     FTS	20120517	56065.899	2.176	   Bessell-I	  I  22.3710  VI 0.01969 | 0.161  0.0
     FTS	20120314	56001.902	1.165	      SDSS-R	  r  22.8957  gr -0.0087 | 0.870  0.0
     FTS	20120314	56001.902	1.165	      SDSS-R	  r  22.8940  ri -0.0177 | 0.840  0.0
     FTS	20120314	56001.903	1.165	      SDSS-I	  i  22.5858  ri -0.0309 | 0.999  0.0
     FTS	20120314	56001.903	1.165	      SDSS-I	  i  22.5843  iz -0.0535 | 0.979  0.0
     FTS	20120314	56001.904	1.164	Pan-Starrs-Z	  z  21.5655  iz -0.1900 | 0.989  0.0
     FTS	20120314	56001.904	1.164	Pan-Starrs-Z	  z  21.5689  rz -0.0696 | 0.999  0.0
     FTS	20120513	56061.865	1.549	      SDSS-G	  g  22.4948  gr 0.15170 | 0.991  0.0
     FTS	20120513	56061.866	1.559	      SDSS-R	  r  22.9560  gr 0.01234 | 0.564  0.0
     FTS	20120513	56061.866	1.559	      SDSS-R	  r  22.9585  ri 0.02447 | 0.521  0.0
     FTS	20120513	56061.867	1.570	      SDSS-I	  i  22.7005  ri 0.00434 | 0.012  0.0
     FTS	20120513	56061.867	1.570	      SDSS-I	  i  22.7006  iz 0.01532 | 0.051  0.0
     FTS	20120513	56061.868	1.580	Pan-Starrs-Z	  z  21.6982  iz -0.2256 | 0.827  0.0
     FTS	20120513	56061.868	1.580	Pan-Starrs-Z	  z  21.7024  rz -0.0847 | 0.879  0.0
     FTS	20120430	56048.854	1.280	      SDSS-G	  g  16.7269  gr       0 |     0  0.0
     FTS	20120430	56048.855	1.284	      SDSS-R	  r  17.6991  gr -0.8851 |   1.0  0.0
     FTS	20120430	56048.855	1.284	      SDSS-R	  r  17.5145  ri -1.8384 |   1.0  0.0
     FTS	20120430	56048.856	1.289	      SDSS-I	  i  21.8407  ri -0.0267 | 0.889  0.0
     FTS	20120430	56048.856	1.289	      SDSS-I	  i  21.8394  iz -0.0445 | 0.806  0.0
     FTS	20120430	56048.857	1.293	Pan-Starrs-Z	  z  21.5744  iz -0.1811 | 0.967  0.0
     FTS	20120430	56048.857	1.293	Pan-Starrs-Z	  z  21.5777  rz -0.0667 | 0.988  0.0
     FTS	20120327	56014.905	1.179	      SDSS-G	  g  21.8196  gr 0.10415 | 0.976  0.0
     FTS	20120327	56014.906	1.181	      SDSS-R	  r  22.5820  gr -0.0096 | 0.849  0.0
     FTS	20120327	56014.906	1.181	      SDSS-R	  r  22.5801  ri -0.0194 | 0.817  0.0
     FTS	20120327	56014.907	1.182	      SDSS-I	  i  22.5473  ri -0.0321 | 0.950  0.0
     FTS	20120327	56014.907	1.182	      SDSS-I	  i  22.5457  iz -0.0543 | 0.888  0.0
     FTS	20120327	56014.908	1.184	Pan-Starrs-Z	  z  21.4800  iz -0.2061 | 0.996  0.0
     FTS	20120327	56014.908	1.184	Pan-Starrs-Z	  z  21.4837  rz -0.0752 | 0.999  0.0
     FTS	20120510	56058.840	1.337	      SDSS-G	  g  22.4516  gr 0.12679 | 0.999  0.0
     FTS	20120510	56058.841	1.343	      SDSS-R	  r  22.9123  gr -0.0068 | 0.860  0.0
     FTS	20120510	56058.841	1.343	      SDSS-R	  r  22.9110  ri -0.0144 | 0.889  0.0
     FTS	20120510	56058.842	1.349	      SDSS-I	  i  22.5988  ri -0.0345 | 0.920  0.0
     FTS	20120510	56058.842	1.349	      SDSS-I	  i  22.5971  iz -0.0579 | 0.846  0.0
     FTS	20120510	56058.844	1.355	Pan-Starrs-Z	  z  21.5877  iz -0.1940 | 0.978  0.0
     FTS	20120510	56058.844	1.355	Pan-Starrs-Z	  z  21.5912  rz -0.0713 | 0.994  0.0
     FTS	20120511	56059.861	1.476	      SDSS-G	  g  22.5057  gr 0.11968 | 0.999  0.0
     FTS	20120511	56059.862	1.485	      SDSS-R	  r  22.9622  gr 0.01038 | 0.443  0.0
     FTS	20120511	56059.862	1.485	      SDSS-R	  r  22.9644  ri 0.02035 | 0.400  0.0
     FTS	20120511	56059.863	1.494	      SDSS-I	  i  22.6707  ri 0.00474 | 0.016  0.0
     FTS	20120511	56059.863	1.494	      SDSS-I	  i  22.6708  iz 0.01558 | 0.058  0.0
     FTS	20120511	56059.864	1.503	Pan-Starrs-Z	  z  21.6751  iz -0.1410 | 0.773  0.0
     FTS	20120511	56059.864	1.503	Pan-Starrs-Z	  z  21.6778  rz -0.0533 | 0.831  0.0
     FTS	20120310	55997.934	1.164	      SDSS-G	  g  22.4743  gr 0.10614 | 0.998  0.0
     FTS	20120310	55997.935	1.165	      SDSS-R	  r  22.9358  gr -0.0100 | 0.992  0.0
     FTS	20120310	55997.935	1.165	      SDSS-R	  r  22.9338  ri -0.0206 | 0.982  0.0
     FTS	20120310	55997.936	1.165	      SDSS-I	  i  22.6238  ri -0.0379 | 0.963  0.0
     FTS	20120310	55997.936	1.165	      SDSS-I	  i  22.6219  iz -0.0643 | 0.908  0.0
     FTS	20120310	55997.937	1.166	Pan-Starrs-Z	  z  21.6033  iz -0.2095 | 0.995  0.0
     FTS	20120310	55997.937	1.166	Pan-Starrs-Z	  z  21.6071  rz -0.0765 | 0.999  0.0
     FTS	20120330	56017.890	1.172	      SDSS-G	  g  22.4707  gr 0.12739 | 0.999  0.0
     FTS	20120330	56017.891	1.173	      SDSS-R	  r  22.9334  gr 0.00241 | 0.273  0.0
     FTS	20120330	56017.891	1.173	      SDSS-R	  r  22.9338  ri 0.00531 | 0.312  0.0
     FTS	20120330	56017.892	1.174	      SDSS-I	  i  22.6472  ri -0.0037 | 0.110  0.0
     FTS	20120330	56017.892	1.174	      SDSS-I	  i  22.6471  iz -0.0087 | 0.193  0.0
     FTS	20120330	56017.893	1.175	Pan-Starrs-Z	  z  21.6368  iz -0.1716 | 0.997  0.0
     FTS	20120330	56017.893	1.175	Pan-Starrs-Z	  z  21.6398  rz -0.0621 | 0.985  0.0
     FTS	20120317	56004.902	1.162	      SDSS-G	  g  22.4409  gr 0.12393 | 0.996  0.0
     FTS	20120317	56004.903	1.162	      SDSS-R	  r  22.9163  gr -0.0033 | 0.619  0.0
     FTS	20120317	56004.903	1.162	      SDSS-R	  r  22.9156  ri -0.0066 | 0.577  0.0
     FTS	20120317	56004.904	1.162	      SDSS-I	  i  22.6460  ri -0.0276 | 0.982  0.0
     FTS	20120317	56004.904	1.162	      SDSS-I	  i  22.6446  iz -0.0471 | 0.938  0.0
     FTS	20120317	56004.906	1.162	Pan-Starrs-Z	  z  21.6401  iz -0.1613 | 0.955  0.0
     FTS	20120317	56004.906	1.162	Pan-Starrs-Z	  z  21.6430  rz -0.0595 | 0.980  0.0
     FTS	20120305	55992.901	1.193	      SDSS-G	  g  22.4257  gr 0.13027 | 0.999  0.0
     FTS	20120305	55992.902	1.191	      SDSS-R	  r  22.8980  gr -0.0006 | 0.139  0.0
     FTS	20120305	55992.902	1.191	      SDSS-R	  r  22.8978  ri -0.0012 | 0.110  0.0
     FTS	20120305	55992.904	1.189	      SDSS-I	  i  22.6241  ri -0.0152 | 0.724  0.0
     FTS	20120305	55992.904	1.189	      SDSS-I	  i  22.6233  iz -0.0245 | 0.616  0.0
     FTS	20120305	55992.905	1.188	Pan-Starrs-Z	  z  21.6001  iz -0.1861 | 0.997  0.0
     FTS	20120305	55992.905	1.188	Pan-Starrs-Z	  z  21.6034  rz -0.0679 | 0.999  0.0
     FTS	20120314	56001.900	1.166	      SDSS-G	  g  22.4234  gr 0.10894 | 0.998  0.0
     FTS	20121002	56203.256	1.472	   Bessell-V	  V  21.9446  BV -0.0375 | 0.525  0.0
     FTS	20121002	56203.256	1.472	   Bessell-V	  V  21.9472  VR -0.0743 | 0.553  0.0
     FTS	20121001	56202.237	1.667	   Bessell-B	  B  21.6366  BV 0.24609 | 0.828  0.0
     FTS	20121001	56202.240	1.635	   Bessell-R	  R  22.4378  VR 0.02670 | 0.149  0.0
     FTS	20121001	56202.240	1.635	   Bessell-R	  R  22.4387  RI 0.02410 | 0.109  0.0
     FTS	20121002	56203.255	1.484	   Bessell-B	  B  21.7217  BV 0.21733 | 0.986  0.0
     FTS	20121002	56203.259	1.454	   Bessell-I	  I  22.2748  RI 0.00593 | 0.001  0.0
     FTS	20121002	56203.259	1.454	   Bessell-I	  I  22.2750  VI 0.00243 | 0.001  0.0
     FTS	20121001	56202.239	1.650	   Bessell-V	  V  21.8716  BV -0.0128 | 0.043  0.0
     FTS	20121001	56202.239	1.650	   Bessell-V	  V  21.8705  VR -0.0172 | 0.021  0.0
     FTS	20121001	56202.241	1.623	   Bessell-I	  I  22.2619  RI 0.03835 | 0.391  0.0
     FTS	20121001	56202.241	1.623	   Bessell-I	  I  22.2616  VI 0.01942 | 0.422  0.0
     FTS	20121002	56203.258	1.462	   Bessell-R	  R  22.4895  VR -0.0331 | 0.116  0.0
     FTS	20121002	56203.258	1.462	   Bessell-R	  R  22.4896  RI -0.0350 | 0.116  0.0
     FTS	20121003	56204.243	1.552	   Bessell-V	  V  21.9481  BV -0.0324 | 0.324  0.0
     FTS	20121003	56204.243	1.552	   Bessell-V	  V  21.9494  VR -0.0600 | 0.299  0.0
     FTS	20121003	56204.246	1.531	   Bessell-I	  I  22.2607  RI 0.00227 | 0.000  0.0
     FTS	20121003	56204.246	1.531	   Bessell-I	  I  22.2604  VI 0.00178 | 0.000  0.0
     FTS	20121008	56209.249	1.413	   Bessell-B	  B  21.6778  BV 0.24100 | 0.744  0.0
     FTS	20121008	56209.251	1.403	   Bessell-V	  V  21.9160  BV -0.0198 | 0.043  0.0
     FTS	20121008	56209.251	1.403	   Bessell-V	  V  21.9148  VR -0.0284 | 0.023  0.0
     FTS	20121008	56209.252	1.394	   Bessell-R	  R  22.4542  VR 0.02608 | 0.014  0.0
     FTS	20121008	56209.252	1.394	   Bessell-R	  R  22.4543  RI 0.02714 | 0.014  0.0
     FTS	20121008	56209.253	1.387	   Bessell-I	  I  22.2318  RI 0.05736 | 0.058  0.0
     FTS	20121008	56209.253	1.387	   Bessell-I	  I  22.2315  VI 0.02862 | 0.061  0.0
     FTS	20121017	56218.237	1.342	   Bessell-B	  B  21.6832  BV 0.24138 | 0.955  0.0
     FTS	20121017	56218.239	1.335	   Bessell-V	  V  21.9776  BV -0.0336 | 0.545  0.0
     FTS	20121017	56218.239	1.335	   Bessell-V	  V  21.9788  VR -0.0616 | 0.493  0.0
     FTS	20121017	56218.240	1.328	   Bessell-R	  R  22.5013  VR -0.0158 | 0.020  0.0
     FTS	20121017	56218.240	1.328	   Bessell-R	  R  22.5022  RI -0.0210 | 0.032  0.0
     FTS	20121017	56218.241	1.322	   Bessell-I	  I  22.2920  RI 9.08057 | 6.351  0.0
     FTS	20121017	56218.241	1.322	   Bessell-I	  I  22.2919  VI 0.00039 | 4.956  0.0
     FTS	20121015	56216.208	1.572	   Bessell-B	  B  21.5671  BV 0.23557 | 0.950  0.0
     FTS	20121015	56216.210	1.558	   Bessell-V	  V  21.8638  BV -0.0370 | 0.345  0.0
     FTS	20121015	56216.210	1.558	   Bessell-V	  V  21.8656  VR -0.0701 | 0.333  0.0
     FTS	20121015	56216.211	1.545	   Bessell-R	  R  22.4231  VR -0.0226 | 0.032  0.0
     FTS	20121015	56216.211	1.545	   Bessell-R	  R  22.4245  RI -0.0301 | 0.051  0.0
     FTS	20121015	56216.213	1.535	   Bessell-I	  I  22.2059  RI -0.0015 | 0.000  0.0
     FTS	20121015	56216.213	1.535	   Bessell-I	  I  22.2055  VI 0.00019 | 9.166  0.0
     FTS	20121019	56220.266	1.220	   Bessell-B	  B  21.6172  BV 0.24452 | 0.961  0.0
     FTS	20121019	56220.267	1.216	   Bessell-V	  V  21.9059  BV -0.0310 | 0.541  0.0
     FTS	20121019	56220.267	1.216	   Bessell-V	  V  21.9069  VR -0.0565 | 0.482  0.0
     FTS	20121019	56220.269	1.213	   Bessell-R	  R  22.4668  VR -0.0228 | 0.219  0.0
     FTS	20121019	56220.269	1.213	   Bessell-R	  R  22.4663  RI -0.0215 | 0.176  0.0
     FTS	20121019	56220.270	1.210	   Bessell-I	  I  22.2333  RI 0.06650 | 0.525  0.0
     FTS	20121019	56220.270	1.210	   Bessell-I	  I  22.2338  VI 0.03150 | 0.496  0.0
     FTS	20121013	56214.230	1.445	   Bessell-B	  B  21.6534  BV 0.23801 | 0.969  0.0
     FTS	20121013	56214.232	1.435	   Bessell-V	  V  21.9026  BV -0.0293 | 0.348  0.0
     FTS	20121013	56214.232	1.435	   Bessell-V	  V  21.9034  VR -0.0526 | 0.301  0.0
     FTS	20121013	56214.233	1.426	   Bessell-R	  R  22.4654  VR -0.0211 | 0.033  0.0
     FTS	20121013	56214.233	1.426	   Bessell-R	  R  22.4657  RI -0.0235 | 0.037  0.0
     FTS	20121013	56214.234	1.418	   Bessell-I	  I  22.2680  RI 0.01169 | 0.005  0.0
     FTS	20121013	56214.234	1.418	   Bessell-I	  I  22.2682  VI 0.00522 | 0.004  0.0
     FTS	20121012	56213.227	1.484	   Bessell-B	  B  21.6535  BV 0.21804 | 0.976  0.0
     FTS	20121012	56213.229	1.472	   Bessell-V	  V  21.8893  BV -0.0248 | 0.430  0.0
     FTS	20121012	56213.229	1.472	   Bessell-V	  V  21.8897  VR -0.0436 | 0.355  0.0
     FTS	20121012	56213.230	1.462	   Bessell-R	  R  22.4492  VR 0.00047 | 2.625  0.0
     FTS	20121012	56213.230	1.462	   Bessell-R	  R  22.4491  RI 0.00094 | 9.369  0.0
     FTS	20121012	56213.232	1.453	   Bessell-I	  I  22.2596  RI 0.02363 | 0.070  0.0
     FTS	20121012	56213.232	1.453	   Bessell-I	  I  22.2597  VI 0.01121 | 0.066  0.0
     FTS	20121021	56222.207	1.451	   Bessell-B	  B  21.6771  BV 0.25121 | 0.965  0.0
     FTS	20121021	56222.209	1.440	   Bessell-V	  V  21.9530  BV -0.0216 | 0.161  0.0
     FTS	20121021	56222.209	1.440	   Bessell-V	  V  21.9527  VR -0.0351 | 0.114  0.0
     FTS	20121021	56222.210	1.431	   Bessell-R	  R  22.4996  VR 0.00020 | 5.304  0.0
     FTS	20121021	56222.210	1.431	   Bessell-R	  R  22.4998  RI -0.0003 | 0.000  0.0
     FTS	20121021	56222.212	1.423	   Bessell-I	  I  22.2973  RI 0.04223 | 0.585  0.0
     FTS	20121021	56222.212	1.423	   Bessell-I	  I  22.2974  VI 0.02028 | 0.568  0.0
     FTS	20121004	56205.238	1.573	   Bessell-B	  B  21.7598  BV 0.24583 | 0.883  0.0
     FTS	20121004	56205.240	1.559	   Bessell-V	  V  21.9672  BV -0.0146 | 0.046  0.0
     FTS	20121004	56205.240	1.559	   Bessell-V	  V  21.9662  VR -0.0202 | 0.023  0.0
     FTS	20121004	56205.241	1.547	   Bessell-R	  R  22.4941  VR 0.00918 | 0.004  0.0
     FTS	20121004	56205.241	1.547	   Bessell-R	  R  22.4942  RI 0.00920 | 0.004  0.0
     FTS	20121004	56205.243	1.537	   Bessell-I	  I  22.2675  RI 0.04476 | 0.164  0.0
     FTS	20121004	56205.243	1.537	   Bessell-I	  I  22.2679  VI 0.02096 | 0.151  0.0
     FTS	20121005	56206.248	1.472	   Bessell-B	  B  21.6457  BV 0.23051 | 0.924  0.0
     FTS	20121005	56206.250	1.461	   Bessell-V	  V  21.9114  BV -0.0292 | 0.438  0.0
     FTS	20121005	56206.250	1.461	   Bessell-V	  V  21.9125  VR -0.0539 | 0.401  0.0
     FTS	20121005	56206.251	1.451	   Bessell-R	  R  22.4533  VR -0.0039 | 0.000  0.0
     FTS	20121005	56206.251	1.451	   Bessell-R	  R  22.4543  RI -0.0086 | 0.004  0.0
     FTS	20121005	56206.252	1.443	   Bessell-I	  I  22.2172  RI 0.02233 | 0.033  0.0
     FTS	20121005	56206.252	1.443	   Bessell-I	  I  22.2168  VI 0.01190 | 0.040  0.0
     FTS	20121016	56217.235	1.369	   Bessell-B	  B  21.5170  BV 0.22012 | 0.876  0.0
     FTS	20121016	56217.236	1.360	   Bessell-V	  V  21.8259  BV -0.0168 | 0.105  0.0
     FTS	20121016	56217.236	1.360	   Bessell-V	  V  21.8254  VR -0.0261 | 0.068  0.0
     FTS	20121016	56217.238	1.353	   Bessell-R	  R  22.3989  VR -0.0015 | 0.000  0.0
     FTS	20121016	56217.238	1.353	   Bessell-R	  R  22.4001  RI -0.0068 | 0.008  0.0
     FTS	20121016	56217.239	1.347	   Bessell-I	  I  22.2039  RI 0.02846 | 0.303  0.0
     FTS	20121016	56217.239	1.347	   Bessell-I	  I  22.2039  VI 0.01377 | 0.299  0.0
     FTS	20121024	56225.241	1.253	   Bessell-B	  B  21.5607  BV 0.21907 | 0.949  0.0
     FTS	20121024	56225.242	1.248	   Bessell-V	  V  21.8598  BV -0.0361 | 0.385  0.0
     FTS	20121024	56225.242	1.248	   Bessell-V	  V  21.8619  VR -0.0697 | 0.385  0.0
     FTS	20121024	56225.244	1.243	   Bessell-R	  R  22.4282  VR -0.0351 | 0.094  0.0
     FTS	20121024	56225.244	1.243	   Bessell-R	  R  22.4292  RI -0.0413 | 0.117  0.0
     FTS	20121024	56225.245	1.240	   Bessell-I	  I  22.2301  RI -0.0143 | 0.011  0.0
     FTS	20121024	56225.245	1.240	   Bessell-I	  I  22.2298  VI -0.0063 | 0.009  0.0
     FTS	20121023	56224.244	1.250	   Bessell-B	  B  21.6027  BV 0.21922 | 0.943  0.0
     FTS	20121023	56224.246	1.245	   Bessell-V	  V  21.8719  BV -0.0244 | 0.080  0.0
     FTS	20121023	56224.246	1.245	   Bessell-V	  V  21.8757  VR -0.0572 | 0.118  0.0
     FTS	20121023	56224.247	1.241	   Bessell-R	  R  22.4418  VR -0.0096 | 0.006  0.0
     FTS	20121023	56224.247	1.241	   Bessell-R	  R  22.4403  RI -0.0033 | 0.000  0.0
     FTS	20121023	56224.248	1.238	   Bessell-I	  I  22.2592  RI 0.03549 | 0.279  0.0
     FTS	20121023	56224.248	1.238	   Bessell-I	  I  22.2596  VI 0.01653 | 0.254  0.0
     FTS	20121009	56210.271	1.292	   Bessell-B	  B  21.6880  BV 0.20142 | 0.976  0.0
     FTS	20121009	56210.272	1.286	   Bessell-V	  V  21.9329  BV -0.0409 | 0.692  0.0
     FTS	20121009	56210.272	1.286	   Bessell-V	  V  21.9355  VR -0.0797 | 0.707  0.0
     FTS	20121009	56210.273	1.281	   Bessell-R	  R  22.4632  VR -0.0286 | 0.057  0.0
     FTS	20121009	56210.273	1.281	   Bessell-R	  R  22.4636  RI -0.0319 | 0.064  0.0
     FTS	20121009	56210.275	1.276	   Bessell-I	  I  22.2215  RI -0.0064 | 0.002  0.0
     FTS	20121009	56210.275	1.276	   Bessell-I	  I  22.2212  VI -0.0024 | 0.001  0.0
     FTS	20121003	56204.242	1.567	   Bessell-B	  B  21.7172  BV 0.21258 | 0.937  0.0
     FTS	20121003	56204.245	1.540	   Bessell-R	  R  22.4821  VR -0.0298 | 0.059  0.0
     FTS	20121003	56204.245	1.540	   Bessell-R	  R  22.4826  RI -0.0334 | 0.066  0.0
     FTS	20121014	56215.214	1.550	   Bessell-B	  B  21.6302  BV 0.21689 | 0.964  0.0
     FTS	20121014	56215.215	1.536	   Bessell-V	  V  21.8939  BV -0.0363 | 0.535  0.0
     FTS	20121014	56215.215	1.536	   Bessell-V	  V  21.8960  VR -0.0702 | 0.537  0.0
     FTS	20121014	56215.217	1.524	   Bessell-R	  R  22.4557  VR -0.0294 | 0.077  0.0
     FTS	20121014	56215.217	1.524	   Bessell-R	  R  22.4561  RI -0.0328 | 0.086  0.0
     FTS	20121014	56215.218	1.515	   Bessell-I	  I  22.2444  RI -0.0078 | 0.003  0.0
     FTS	20121014	56215.218	1.515	   Bessell-I	  I  22.2441  VI -0.0031 | 0.002  0.0
     FTS	20121002	56203.244	1.570	      SDSS-R	  r  22.8522  gr -0.0009 | 0.860  0.0
     FTS	20121002	56203.244	1.570	      SDSS-R	  r  22.8521  ri -0.0020 | 0.889  0.0
     FTS	20121002	56203.246	1.549	Pan-Starrs-Z	  z  21.5842  iz -0.1874 | 0.976  0.0
     FTS	20121002	56203.246	1.549	Pan-Starrs-Z	  z  21.5876  rz -0.0689 | 0.993  0.0
     FTS	20121008	56209.240	1.469	      SDSS-G	  g  22.3406  gr 0.15218 | 0.996  0.0
     FTS	20121008	56209.242	1.460	      SDSS-R	  r  22.8121  gr 0.01443 | 0.934  0.0
     FTS	20121008	56209.242	1.460	      SDSS-R	  r  22.8149  ri 0.03007 | 0.954  0.0
     FTS	20121002	56203.243	1.581	      SDSS-G	  g  22.3935  gr 0.14366 | 0.998  0.0
     FTS	20121002	56203.245	1.559	      SDSS-I	  i  22.5931  ri -0.0243 | 0.931  0.0
     FTS	20121002	56203.245	1.559	      SDSS-I	  i  22.5919  iz -0.0408 | 0.862  0.0
     FTS	20121008	56209.243	1.452	      SDSS-I	  i  22.5548  ri -0.0074 | 0.301  0.0
     FTS	20121008	56209.243	1.452	      SDSS-I	  i  22.5545  iz -0.0152 | 0.412  0.0
     FTS	20121008	56209.244	1.444	Pan-Starrs-Z	  z  21.5290  iz -0.1774 | 0.987  0.0
